,title,price,condition,bids,sold date,postage
23,MSI Radeon RX580 4GB Gaming X,90.0,Pre-owned,*Buy Now*,22-Aug 16:53,9.95
24,"XFX RX 580 GTS XXX (8GB) OC Graphics Card, VR ready, Selling due to upgrade. ",137.5,Pre-owned,10 bids,22-Aug 16:36,4.10
25,MSI GAMING X RX 580 8GB Graphics Card 3,139.9,Pre-owned,*Buy Now*,22-Aug 16:32,5.00
26,SAPPHIRE RX 580 8GB Nitro+ GPU,122.0,Pre-owned,31 bids,22-Aug 15:46,4.10
27,Gigabyte GTX 1070 GTX 1070ti RX580 RX570 WINDFORCE FAN PLD09210S12HH 87mm 4PIN,17.0,Brand new,*Buy Now*,22-Aug 15:06,Free
28,MSI GAMING X RX 580 8GB Graphics Card,139.9,Pre-owned,*Buy Now*,22-Aug 14:33,5.00
29,Radeon RX 580 ARMOR SP - 8G,110.0,Pre-owned,8 bids,22-Aug 14:04,Free
30,T129215SU Cooler Fan For ASUS STRIX GTX 980TI RX480/580 R9 390X/R9 390 GTX 1060,10.07,Brand new,*Buy Now*,22-Aug 13:28,Free
31,Sapphire AMD Radeon Pulse RX 580 8gb Gddr5,138.0,Pre-owned,*Buy Now*,22-Aug 10:06,Free
32,Sonnet eGFX Breakaway Box 350W eGPU + AMD Radeon RX580 ideal for Mac,360.0,Pre-owned,14 bids,22-Aug 08:55,5.00
33,MSI Radeon RX 580 8 GB Armor OC Graphics Card - Currys,155.0,Brand new,*Buy Now*,21-Aug 21:50,Free
34,Sapphire Pulse OC RX 580 8GB 3,139.9,Pre-owned,*Buy Now*,21-Aug 20:41,5.00
35,Sapphire AMD Radeon RX 580 GDDR5 8GB NITRO+ Graphics Card,140.0,Refurbished,34 bids,21-Aug 19:25,8.00
36,Gygabite aorus rx 580 gpu 4gb cheap,75.0,Pre-owned,*Buy Now*,21-Aug 17:08,Free
37,SAPPHIRE Pulse Radeon RX 580 4G GDDR5 Dual HDMI/DVI-D/Dual DP Graphics Card,119.0,Pre-owned,*Buy Now*,21-Aug 14:27,7.00
38,PowerColor RX580 Red Devil 8GB,124.99,Pre-owned,*Buy Now*,21-Aug 11:33,8.00
39,Faulty Rx580,30.0,Pre-owned,1 bid,21-Aug 09:00,3.10
40,GIGABYTE AMD Radeon RX 580 8GB GDDR5 Gaming Graphics Card (GV-RX580GAMING-8GD),117.0,Pre-owned,*Buy Now*,21-Aug 08:48,4.99
41,MSI Radeon RX 580 GAMING X 8G ( R580GX8 ),190.0,Pre-owned,*Buy Now*,21-Aug 07:47,Free
42,Genuine SAPPHIRE NITRO+ RADEON RX 580 4GB G5 GPU in Excellent Condition UK,118.0,Refurbished,*Buy Now*,21-Aug 07:13,6.00
43,PowerColor RX480/RX580 4GB Red Dragon VR Ready Dual BIOS.,74.97,Refurbished,*Buy Now*,21-Aug 04:51,20.27
44,Sapphire Radeon Rx 580 8Gb Gddr5 Pulse Amd 11265-05-20G,150.0,Pre-owned,*Buy Now*,20-Aug 23:22,Free
45,ASRock Phantom Gaming X Radeon RX580 OC 8GB GDDR5 Graphics Card,130.0,Pre-owned,*Buy Now*,20-Aug 22:32,Free
46,XFX Radeon RX 580 8GB GTS XXX Graphics Card,100.0,Pre-owned,*Buy Now*,20-Aug 20:17,Free
50,ASUS Dual OC RX 580 8GB Graphics Card 3,134.99,Pre-owned,*Buy Now*,23-Aug 21:07,5.00
51,SAPPHIRE Pulse AMD Radeon RX 580 4GB GDDR5 graphics card - excellent condition,95.0,Pre-owned,14 bids,23-Aug 20:59,Free
52,ASUS Dual OC RX 580 8GB Graphics Card,134.99,Pre-owned,*Buy Now*,23-Aug 20:46,5.00
53,PowerColor Radeon RX 580 RED Dragon V2 Graphic Card 8 GB,125.0,Pre-owned,*Buy Now*,23-Aug 20:31,Free
55,PowerColor Red Devil Radeon RX 580 8GB GDDR5 Golden Sample,127.0,Pre-owned,16 bids,23-Aug 18:39,8.80
56,New listingSapphire Radeon Pulse RX 580 8gb GDDR5 11265-05-20G,125.0,Pre-owned,1 bid,23-Aug 13:45,4.10
57,MSI GAMING X RX 580 8GB Graphics Card 2,139.9,Pre-owned,*Buy Now*,23-Aug 13:23,5.00
58,"AMD APPLE Radeon RX 580 NITRO 8GB Mac Edition With Boot screen, for Mac Pro",359.95,Refurbished,*Buy Now*,23-Aug 13:14,Free
59,MSI Radeon RX 580 Gaming X Plus 8GB DDR5 Perfect Condition Tested and Working,134.0,Pre-owned,9 bids,23-Aug 11:52,5.00
60,Genuine SAPPHIRE NITRO+ RADEON RX 580 4GB G5 GPU in Excellent Condition UK,118.0,Refurbished,*Buy Now*,23-Aug 11:39,5.99
61,"SAPPHIRE RX 580 ""NITRO"" 4GB (GDDR5) AMD NVIDIA Graphics Card ",150.0,Brand new,*Buy Now*,23-Aug 10:55,5.99
62,SAPPHIRE 11265-01-20G Radeon RX 580 8GB GDDR5 Graphics Card,160.0,Refurbished,*Buy Now*,23-Aug 01:31,Free
63,Gigabyte Aorus AMD Radeon Rx 580 4GB GV-RX580AORUS-4GD,131.33,Pre-owned,*Buy Now*,23-Aug 01:22,54.72
64,New listingGIGABYTE AMD Radeon RX 580 8GB GDDR5 Graphics Card (GVRX580GAMING8GD),115.0,Pre-owned,*Buy Now*,22-Aug 23:36,3.10
65,Cooler Fan for MSI RX470 480 570 580 GTX1080Ti 1080 1070 1060 GAMING Card ,14.53,Brand new,*Buy Now*,22-Aug 20:49,Free
