,title,price,condition,bids,sold date,postage
29,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",119.99,Pre-owned,*Buy Now*,27-May 08:43,Free
30,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",110.0,Pre-owned,*Buy Now*,26-May 11:43,Free
31,"ASRock Z77 Extreme6, LGA 1155, Mobo with intel i5 - 3570k and 32gb ram hyperX",146.0,Pre-owned,1 bid,22-Aug 21:26,9.00
32,asrock z77 extreme4,73.0,Pre-owned,10 bids,17-Aug 10:54,5.57
33,"ASRock Z77 Extreme4 LGA 1155 Motherboard, 3.3GHz Intel core I5-2500k,4096 Memory",70.0,Pre-owned,4 bids,17-Aug 09:31,4.10
34,ASRock Z77 Extreme6 LGA 1155 Socket H2 Intel Motherboard,102.0,Opened – never used,11 bids,15-Aug 18:07,3.70
35,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",71.0,Pre-owned,11 bids,11-Aug 11:39,5.57
37,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,45.0,Pre-owned,33 bids,07-Aug 17:38,Free
38,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",67.99,Pre-owned,14 bids,05-Aug 09:15,6.00
39,"ASRock Z77 Extreme6, LGA 1155/Socket H2, Intel Motherboard",70.0,Pre-owned,14 bids,04-Aug 17:11,9.02
40,Original ASRock Z77 Extreme4 Intel Z77 Motherboard LGA 1155 DDR3,99.45,Refurbished,*Buy Now*,03-Aug 08:58,Free
41,"ASRock Z77 Extreme6, LGA 1155/Socket H2, Intel (90-MXGJK0-A0UAYZ) Motherboard",52.0,Pre-owned,19 bids,02-Aug 13:29,10.00
42,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,114.95,Pre-owned,*Buy Now*,11-Jul 18:44,Free
